"filename", "language", "JSON", "Markdown", "Python", "CSV", "YAML", "HTML", "CMake", "C++", "pip requirements", "PostCSS", "TypeScript", "XML", "JavaScript", "Properties", "Dart", "Ignore", "JSON with Comments", "Ruby", "Swift", "Docker", "comment", "blank", "total"
"/Users/daoduyluu/Healthy Nutrition/.dart_tool/extension_discovery/README.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 32
"/Users/daoduyluu/Healthy Nutrition/.dart_tool/extension_discovery/vs_code.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/daoduyluu/Healthy Nutrition/.dart_tool/package_config.json", "JSON", 592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 593
"/Users/daoduyluu/Healthy Nutrition/.dart_tool/package_graph.json", "JSON", 848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 848
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 4
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 5, 15
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/app.py", "Python", 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 273
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/application.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 9
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/assets/nutrients_csvfile.csv", "CSV", 0, 0, 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 337
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/auth_middleware.py", "Python", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 64
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/clean_data.ipynb", "JSON", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 184
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/database.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/dataset.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/diet_chart.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/export_database.ipynb", "JSON", 1381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1382
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/goal_generator.ipynb", "JSON", 1362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1363
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/healthy_nutrition.foods.json", "JSON", 4210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4210
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/healthy_nutrition.json", "JSON", 4210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4210
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/models.py", "Python", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 162
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/mongo-init.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/mongodb/initdb.d/mongo-init.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4286, 0, 0, 0, 0, 0, 0, 0, 6, 8, 4300
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/test.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/util.py", "Python", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 68
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/vercel.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Database/wsgi.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/converter.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/data.yaml", "YAML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/datasets copy/notes.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/datasets/notes.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/exp10-new/yolov8n-c3k2-6/args.yaml", "YAML", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 108
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/exp10-new/yolov8n-c3k2-62/args.yaml", "YAML", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 108
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/image.py", "Python", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 68
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/main.py", "Python", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/metadata_writer_tutorial.ipynb", "JSON", 866, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 867
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/models/Mar 11, 25 - best (YOLOv8n).pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 30621
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/models/Mar 11, 25 - last (YOLOv8n).pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 30621
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/models/Mar 15, 25 - best (YOLOv11n).pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 35617
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/models/Mar 15, 25 - last (YOLOv11n).pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 35617
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/models/Mar 29, 25 - best (YOLOv11).pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 34432
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/models/Mar 29, 25 - best (YOLOv11)_saved_model/metadata.yaml", "YAML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/models/Mar 29, 25 - last (YOLOv11).pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 34432
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/models/Mar 8, 25 - best (YOLOv11n).pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31083, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 31147
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/models/Mar 8, 25 - last (YOLOv11n).pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 31086
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/resize_image.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/rotated_transformation.py", "Python", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54, 265
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/runs/detect/train/args.yaml", "YAML", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 108
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/runs/detect/train2/args.yaml", "YAML", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 108
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/runs/detect/train3/args.yaml", "YAML", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 108
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/runs/detect/train4/args.yaml", "YAML", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 108
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/runs/detect/train5/args.yaml", "YAML", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 108
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/runs/detect/train5/results.csv", "CSV", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/runs/detect/train5/weights/best.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 34969
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/runs/detect/train5/weights/last.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 34969
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/runs/detect/train6/args.yaml", "YAML", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 107
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/runs/detect/train6/results.csv", "CSV", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/runs/detect/train6/weights/best.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 34432
"/Users/daoduyluu/Healthy Nutrition/Healthy Nutrition Deep Learning/runs/detect/train6/weights/last.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 34432
